"","code","name","sci_name","family","order"
"1","ostric2","Common Ostrich","Struthio camelus","Struthionidae (Ostriches)","Struthioniformes"
"2","ostric3","Somali Ostrich","Struthio molybdophanes","Struthionidae (Ostriches)","Struthioniformes"
"3","y00934","Common/Somali Ostrich","Struthio camelus/molybdophanes","Struthionidae (Ostriches)","Struthioniformes"
"4","grerhe1","Greater Rhea","Rhea americana","Rheidae (Rheas)","Rheiformes"
"5","lesrhe2","Lesser Rhea","Rhea pennata","Rheidae (Rheas)","Rheiformes"
"6","lesrhe4","Lesser Rhea (Puna)","Rhea pennata tarapacensis/garleppi","Rheidae (Rheas)","Rheiformes"
"7","lesrhe3","Lesser Rhea (Darwin's)","Rhea pennata pennata","Rheidae (Rheas)","Rheiformes"
"8","tabtin1","Tawny-breasted Tinamou","Nothocercus julius","Tinamidae (Tinamous)","Tinamiformes"
"9","higtin1","Highland Tinamou","Nothocercus bonapartei","Tinamidae (Tinamous)","Tinamiformes"
"10","higtin2","Highland Tinamou (South American)","Nothocercus bonapartei [bonapartei Group]","Tinamidae (Tinamous)","Tinamiformes"
"11","higtin3","Highland Tinamou (Costa Rican)","Nothocercus bonapartei frantzii","Tinamidae (Tinamous)","Tinamiformes"
"12","hootin1","Hooded Tinamou","Nothocercus nigrocapillus","Tinamidae (Tinamous)","Tinamiformes"
"13","grytin1","Gray Tinamou","Tinamus tao","Tinamidae (Tinamous)","Tinamiformes"
"14","soltin1","Solitary Tinamou","Tinamus solitarius","Tinamidae (Tinamous)","Tinamiformes"
"15","blatin1","Black Tinamou","Tinamus osgoodi","Tinamidae (Tinamous)","Tinamiformes"
"16","gretin1","Great Tinamou","Tinamus major","Tinamidae (Tinamous)","Tinamiformes"
"17","whttin1","White-throated Tinamou","Tinamus guttatus","Tinamidae (Tinamous)","Tinamiformes"
"18","tinamu1","Tinamus sp.","Tinamus sp.","Tinamidae (Tinamous)","Tinamiformes"
"19","cintin1","Cinereous Tinamou","Crypturellus cinereus","Tinamidae (Tinamous)","Tinamiformes"
"20","bertin1","Berlepsch's Tinamou","Crypturellus berlepschi","Tinamidae (Tinamous)","Tinamiformes"
"21","littin1","Little Tinamou","Crypturellus soui","Tinamidae (Tinamous)","Tinamiformes"
"22","teptin1","Tepui Tinamou","Crypturellus ptaritepui","Tinamidae (Tinamous)","Tinamiformes"
"23","brotin1","Brown Tinamou","Crypturellus obsoletus","Tinamidae (Tinamous)","Tinamiformes"
"24","brntin1","Brown Tinamou (castaneus)","Crypturellus obsoletus castaneus","Tinamidae (Tinamous)","Tinamiformes"
"25","brntin2","Brown Tinamou (Brown)","Crypturellus obsoletus [obsoletus Group]","Tinamidae (Tinamous)","Tinamiformes"
"26","undtin1","Undulated Tinamou","Crypturellus undulatus","Tinamidae (Tinamous)","Tinamiformes"
"27","pabtin1","Pale-browed Tinamou","Crypturellus transfasciatus","Tinamidae (Tinamous)","Tinamiformes"
"28","bratin1","Brazilian Tinamou","Crypturellus strigulosus","Tinamidae (Tinamous)","Tinamiformes"
"29","gyltin1","Gray-legged Tinamou","Crypturellus duidae","Tinamidae (Tinamous)","Tinamiformes"
"30","reltin1","Red-legged Tinamou","Crypturellus erythropus","Tinamidae (Tinamous)","Tinamiformes"
"31","yeltin1","Yellow-legged Tinamou","Crypturellus noctivagus","Tinamidae (Tinamous)","Tinamiformes"
"32","yeltin2","Yellow-legged Tinamou (zabele)","Crypturellus noctivagus zabele","Tinamidae (Tinamous)","Tinamiformes"
"33","yeltin3","Yellow-legged Tinamou (noctivagus)","Crypturellus noctivagus noctivagus","Tinamidae (Tinamous)","Tinamiformes"
"34","blctin1","Black-capped Tinamou","Crypturellus atrocapillus","Tinamidae (Tinamous)","Tinamiformes"
"35","slbtin1","Slaty-breasted Tinamou","Crypturellus boucardi","Tinamidae (Tinamous)","Tinamiformes"
"36","chotin1","Choco Tinamou","Crypturellus kerriae","Tinamidae (Tinamous)","Tinamiformes"
"37","vartin1","Variegated Tinamou","Crypturellus variegatus","Tinamidae (Tinamous)","Tinamiformes"
"38","thitin1","Thicket Tinamou","Crypturellus cinnamomeus","Tinamidae (Tinamous)","Tinamiformes"
"39","thitin2","Thicket Tinamou (occidentalis)","Crypturellus cinnamomeus occidentalis","Tinamidae (Tinamous)","Tinamiformes"
"40","thitin3","Thicket Tinamou (cinnamomeus Group)","Crypturellus cinnamomeus [cinnamomeus Group]","Tinamidae (Tinamous)","Tinamiformes"
"41","rustin1","Rusty Tinamou","Crypturellus brevirostris","Tinamidae (Tinamous)","Tinamiformes"
"42","bartin2","Bartlett's Tinamou","Crypturellus bartletti","Tinamidae (Tinamous)","Tinamiformes"
"43","smbtin1","Small-billed Tinamou","Crypturellus parvirostris","Tinamidae (Tinamous)","Tinamiformes"
"44","bartin1","Barred Tinamou","Crypturellus casiquiare","Tinamidae (Tinamous)","Tinamiformes"
"45","tattin1","Tataupa Tinamou","Crypturellus tataupa","Tinamidae (Tinamous)","Tinamiformes"
"46","cryptu1","Crypturellus sp.","Crypturellus sp.","Tinamidae (Tinamous)","Tinamiformes"
"47","rewtin1","Red-winged Tinamou","Rhynchotus rufescens","Tinamidae (Tinamous)","Tinamiformes"
"48","huatin1","Huayco Tinamou","Rhynchotus maculicollis","Tinamidae (Tinamous)","Tinamiformes"
"49","tactin1","Taczanowski's Tinamou","Nothoprocta taczanowskii","Tinamidae (Tinamous)","Tinamiformes"
"50","orntin1","Ornate Tinamou","Nothoprocta ornata","Tinamidae (Tinamous)","Tinamiformes"
"51","chitin1","Chilean Tinamou","Nothoprocta perdicaria","Tinamidae (Tinamous)","Tinamiformes"
"52","brutin1","Brushland Tinamou","Nothoprocta cinerascens","Tinamidae (Tinamous)","Tinamiformes"
"53","andtin1","Andean Tinamou","Nothoprocta pentlandii","Tinamidae (Tinamous)","Tinamiformes"
"54","cubtin1","Curve-billed Tinamou","Nothoprocta curvirostris","Tinamidae (Tinamous)","Tinamiformes"
"55","nothop1","Nothoprocta sp.","Nothoprocta sp.","Tinamidae (Tinamous)","Tinamiformes"
"56","whbnot1","White-bellied Nothura","Nothura boraquira","Tinamidae (Tinamous)","Tinamiformes"
"57","lesnot1","Lesser Nothura","Nothura minor","Tinamidae (Tinamous)","Tinamiformes"
"58","darnot1","Darwin's Nothura","Nothura darwinii","Tinamidae (Tinamous)","Tinamiformes"
"59","sponot1","Spotted Nothura","Nothura maculosa","Tinamidae (Tinamous)","Tinamiformes"
"60","dwatin1","Dwarf Tinamou","Taoniscus nanus","Tinamidae (Tinamous)","Tinamiformes"
"61","elctin1","Elegant Crested-Tinamou","Eudromia elegans","Tinamidae (Tinamous)","Tinamiformes"
"62","quctin1","Quebracho Crested-Tinamou","Eudromia formosa","Tinamidae (Tinamous)","Tinamiformes"
"63","puntin1","Puna Tinamou","Tinamotis pentlandii","Tinamidae (Tinamous)","Tinamiformes"
"64","pattin1","Patagonian Tinamou","Tinamotis ingoufi","Tinamidae (Tinamous)","Tinamiformes"
"65","tinamo1","tinamou sp.","Tinamidae sp.","Tinamidae (Tinamous)","Tinamiformes"
"66","soucas1","Southern Cassowary","Casuarius casuarius","Casuariidae (Cassowaries and Emu)","Casuariiformes"
"67","dwacas1","Dwarf Cassowary","Casuarius bennetti","Casuariidae (Cassowaries and Emu)","Casuariiformes"
"68","norcas1","Northern Cassowary","Casuarius unappendiculatus","Casuariidae (Cassowaries and Emu)","Casuariiformes"
"69","emu1","Emu","Dromaius novaehollandiae","Casuariidae (Cassowaries and Emu)","Casuariiformes"
"70","sobkiw1","Southern Brown Kiwi","Apteryx australis","Apterygidae (Kiwis)","Apterygiformes"
"71","sobkiw2","Southern Brown Kiwi (South I.)","Apteryx australis australis","Apterygidae (Kiwis)","Apterygiformes"
"72","sobkiw3","Southern Brown Kiwi (Stewart I.)","Apteryx australis lawryi","Apterygidae (Kiwis)","Apterygiformes"
"73","okbkiw1","Okarito Brown Kiwi","Apteryx rowi","Apterygidae (Kiwis)","Apterygiformes"
"74","nibkiw1","North Island Brown Kiwi","Apteryx mantelli","Apterygidae (Kiwis)","Apterygiformes"
